Order_ID,Order_Date,Region,City,Category,Product,Sales_Channel,Units,Unit_Price,Discount_Pct,Unit_Cost,Customer_Rating
ORD-0032,2025-07-22,East,Bhubaneswar,Electronics,Wireless Mouse,Retail,5,927.00,0.00,484.80,4.0
ORD-0033,2025-08-08,South,Bengaluru,Home Office,Foot Rest,Online,10,1484.00,0.05,714.00,4.5
ORD-0034,2025-08-25,North,Chandigarh,Home Office,Desk Lamp,Corporate,3,1472.00,0.00,927.00,4.5
ORD-0035,2025-09-11,West,Ahmedabad,Accessories,Laptop Sleeve,Retail,8,950.00,0.05,540.80,5.0
ORD-0036,2025-09-28,East,Bhubaneswar,Furniture,Storage Cabinet,Online,1,10780.00,0.00,7296.00,3.5
ORD-0037,2025-10-15,South,Bengaluru,Furniture,Office Chair,Corporate,6,6565.00,0.05,4171.00,4.0
ORD-0038,2025-11-01,North,Chandigarh,Office Supplies,Desk Organizer,Retail,11,728.00,0.00,343.00,4.0
ORD-0039,2025-11-18,West,Ahmedabad,Electronics,Keyboard,Online,4,1605.00,0.05,841.50,4.5
ORD-0040,2025-12-05,East,Bhubaneswar,Electronics,Laptop Stand,Corporate,9,1674.00,0.00,1100.00,4.5
ORD-0041,2025-12-22,South,Bengaluru,Home Office,Monitor Arm,Retail,2,3072.00,0.05,1919.00,5.0
ORD-0042,2025-01-08,North,Chandigarh,Accessories,Webcam,Online,7,2772.00,0.00,1734.00,3.5
ORD-0043,2025-01-25,West,Ahmedabad,Accessories,USB Hub,Corporate,12,1224.00,0.05,618.00,4.0
ORD-0044,2025-02-11,East,Bhubaneswar,Furniture,Study Desk,Retail,5,8925.00,0.00,6136.00,4.0
ORD-0045,2025-02-28,South,Bengaluru,Office Supplies,Printer Paper,Online,10,594.00,0.05,288.00,4.5
ORD-0046,2025-03-17,North,Chandigarh,Office Supplies,Notebook Pack,Corporate,3,423.00,0.00,213.40,4.5
ORD-0047,2025-04-03,West,Ahmedabad,Electronics,Wireless Mouse,Retail,8,873.00,0.05,470.40,5.0
ORD-0048,2025-04-20,East,Bhubaneswar,Home Office,Foot Rest,Online,1,1400.00,0.00,693.00,3.5
ORD-0049,2025-05-07,South,Bengaluru,Home Office,Desk Lamp,Corporate,6,1648.00,0.05,900.00,4.0
ORD-0050,2025-05-24,North,Chandigarh,Accessories,Laptop Sleeve,Retail,11,1060.00,0.00,525.20,4.0
ORD-0051,2025-06-10,West,Ahmedabad,Furniture,Storage Cabinet,Online,4,10120.00,0.05,7752.00,4.5
ORD-0052,2025-06-27,East,Bhubaneswar,Furniture,Office Chair,Corporate,9,6175.00,0.00,4429.00,4.5
ORD-0053,2025-07-14,South,Bengaluru,Office Supplies,Desk Organizer,Retail,2,686.00,0.05,364.00,5.0
ORD-0054,2025-07-31,North,Chandigarh,Electronics,Keyboard,Online,7,1515.00,0.00,816.00,3.5
ORD-0055,2025-08-17,West,Ahmedabad,Electronics,Laptop Stand,Corporate,12,1872.00,0.05,1067.00,4.0
ORD-0056,2025-09-03,East,Bhubaneswar,Home Office,Monitor Arm,Retail,5,3424.00,0.00,1862.00,4.0
ORD-0057,2025-09-20,South,Bengaluru,Accessories,Webcam,Online,10,2604.00,0.05,1683.00,4.5
ORD-0058,2025-10-07,North,Chandigarh,Accessories,USB Hub,Corporate,3,1152.00,0.00,600.00,4.5
ORD-0059,2025-10-24,West,Ahmedabad,Furniture,Study Desk,Retail,8,8415.00,0.05,5959.00,5.0
ORD-0060,2025-11-10,East,Bhubaneswar,Office Supplies,Printer Paper,Online,1,561.00,0.00,306.00,3.5
ORD-0061,2025-11-27,South,Bengaluru,Office Supplies,Notebook Pack,Corporate,6,472.50,0.05,226.60,4.0
ORD-0062,2025-12-14,North,Chandigarh,Electronics,Wireless Mouse,Retail,11,972.00,0.00,499.20,4.0
ORD-0063,2025-12-31,West,Ahmedabad,Home Office,Foot Rest,Online,4,1316.00,0.05,672.00,4.5
ORD-0064,2025-01-17,East,Bhubaneswar,Home Office,Desk Lamp,Corporate,9,1552.00,0.00,873.00,4.5
ORD-0065,2025-02-03,South,Bengaluru,Accessories,Laptop Sleeve,Retail,2,1000.00,0.05,509.60,5.0
ORD-0066,2025-02-20,North,Chandigarh,Furniture,Storage Cabinet,Online,7,11330.00,0.00,7524.00,3.5
ORD-0067,2025-03-09,West,Ahmedabad,Furniture,Office Chair,Corporate,12,6890.00,0.05,4300.00,4.0
ORD-0068,2025-03-26,East,Bhubaneswar,Office Supplies,Desk Organizer,Retail,5,644.00,0.00,353.50,4.0
ORD-0069,2025-04-12,South,Bengaluru,Electronics,Keyboard,Online,10,1425.00,0.05,867.00,4.5
ORD-0070,2025-04-29,North,Chandigarh,Electronics,Laptop Stand,Corporate,3,1764.00,0.00,1133.00,4.5
ORD-0071,2025-05-16,West,Ahmedabad,Home Office,Monitor Arm,Retail,8,3232.00,0.05,1976.00,5.0
ORD-0072,2025-06-02,East,Bhubaneswar,Accessories,Webcam,Online,1,2912.00,0.00,1632.00,3.5
ORD-0073,2025-06-19,South,Bengaluru,Accessories,USB Hub,Corporate,6,1284.00,0.05,582.00,4.0
ORD-0074,2025-07-06,North,Chandigarh,Furniture,Study Desk,Retail,11,7905.00,0.00,5782.00,4.0
ORD-0075,2025-07-23,West,Ahmedabad,Office Supplies,Printer Paper,Online,4,528.00,0.05,297.00,4.5
ORD-0076,2025-08-09,East,Bhubaneswar,Office Supplies,Notebook Pack,Corporate,9,445.50,0.00,220.00,4.5
ORD-0077,2025-08-26,South,Bengaluru,Electronics,Wireless Mouse,Retail,2,918.00,0.05,484.80,5.0
ORD-0078,2025-09-12,North,Chandigarh,Home Office,Foot Rest,Online,7,1470.00,0.00,714.00,3.5
ORD-0079,2025-09-29,West,Ahmedabad,Home Office,Desk Lamp,Corporate,12,1728.00,0.05,927.00,4.0
ORD-0080,2025-10-16,East,Bhubaneswar,Accessories,Laptop Sleeve,Retail,5,940.00,0.00,540.80,4.0
ORD-0081,2025-11-02,South,Bengaluru,Furniture,Storage Cabinet,Online,10,10670.00,0.05,7296.00,4.5
ORD-0082,2025-11-19,North,Chandigarh,Furniture,Office Chair,Corporate,3,6500.00,0.00,4171.00,4.5
ORD-0083,2025-12-06,West,Ahmedabad,Office Supplies,Desk Organizer,Retail,8,721.00,0.05,343.00,5.0
ORD-0084,2025-12-23,East,Bhubaneswar,Electronics,Keyboard,Online,1,1590.00,0.00,841.50,3.5
ORD-0085,2025-01-09,South,Bengaluru,Electronics,Laptop Stand,Corporate,6,1656.00,0.05,1100.00,4.0
ORD-0086,2025-01-26,North,Chandigarh,Home Office,Monitor Arm,Retail,11,3040.00,0.00,1919.00,4.0
ORD-0087,2025-02-12,West,Ahmedabad,Accessories,Webcam,Online,4,2744.00,0.05,1734.00,4.5
ORD-0088,2025-03-01,East,Bhubaneswar,Accessories,USB Hub,Corporate,9,1212.00,0.00,618.00,4.5
ORD-0089,2025-03-18,South,Bengaluru,Furniture,Study Desk,Retail,2,8840.00,0.05,6136.00,5.0
ORD-0090,2025-04-04,North,Chandigarh,Office Supplies,Printer Paper,Online,7,588.50,0.00,288.00,3.5
ORD-0091,2025-04-21,West,Ahmedabad,Office Supplies,Notebook Pack,Corporate,12,418.50,0.05,213.40,4.0
ORD-0092,2025-05-08,East,Bhubaneswar,Electronics,Wireless Mouse,Retail,5,864.00,0.00,470.40,4.0
ORD-0093,2025-05-25,South,Bengaluru,Home Office,Foot Rest,Online,10,1386.00,0.05,693.00,4.5
ORD-0094,2025-06-11,North,Chandigarh,Home Office,Desk Lamp,Corporate,3,1632.00,0.00,900.00,4.5
ORD-0095,2025-06-28,West,Ahmedabad,Accessories,Laptop Sleeve,Retail,8,1050.00,0.05,525.20,5.0
ORD-0096,2025-07-15,East,Bhubaneswar,Furniture,Storage Cabinet,Online,1,11880.00,0.00,7752.00,3.5
ORD-0097,2025-08-01,South,Bengaluru,Furniture,Office Chair,Corporate,6,6110.00,0.05,4429.00,4.0
ORD-0098,2025-08-18,North,Chandigarh,Office Supplies,Desk Organizer,Retail,11,679.00,0.00,364.00,4.0
ORD-0099,2025-09-04,West,Ahmedabad,Electronics,Keyboard,Online,4,1500.00,0.05,816.00,4.5
ORD-0100,2025-09-21,East,Bhubaneswar,Electronics,Laptop Stand,Corporate,9,1854.00,0.00,1067.00,4.5
ORD-0101,2025-10-08,South,Bengaluru,Home Office,Monitor Arm,Retail,2,3392.00,0.05,1862.00,5.0
ORD-0102,2025-10-25,North,Chandigarh,Accessories,Webcam,Online,7,2576.00,0.00,1683.00,3.5
ORD-0103,2025-11-11,West,Ahmedabad,Accessories,USB Hub,Corporate,12,1140.00,0.05,600.00,4.0
ORD-0104,2025-11-28,East,Bhubaneswar,Furniture,Study Desk,Retail,5,8330.00,0.00,5959.00,4.0
ORD-0105,2025-12-15,South,Bengaluru,Office Supplies,Printer Paper,Online,10,555.50,0.05,306.00,4.5
ORD-0106,2025-01-01,North,Chandigarh,Office Supplies,Notebook Pack,Corporate,3,468.00,0.00,226.60,4.5
ORD-0107,2025-01-18,West,Ahmedabad,Electronics,Wireless Mouse,Retail,8,963.00,0.05,499.20,5.0
ORD-0108,2025-02-04,East,Bhubaneswar,Home Office,Foot Rest,Online,1,1302.00,0.00,672.00,3.5
ORD-0109,2025-02-21,South,Bengaluru,Home Office,Desk Lamp,Corporate,6,1536.00,0.05,873.00,4.0
ORD-0110,2025-03-10,North,Chandigarh,Accessories,Laptop Sleeve,Retail,11,990.00,0.00,509.60,4.0
ORD-0111,2025-03-27,West,Ahmedabad,Furniture,Storage Cabinet,Online,4,11220.00,0.05,7524.00,4.5
ORD-0112,2025-04-13,East,Bhubaneswar,Furniture,Office Chair,Corporate,9,6825.00,0.00,4300.00,4.5
ORD-0113,2025-04-30,South,Bengaluru,Office Supplies,Desk Organizer,Retail,2,756.00,0.05,353.50,5.0
ORD-0114,2025-05-17,North,Chandigarh,Electronics,Keyboard,Online,7,1410.00,0.00,867.00,3.5
ORD-0115,2025-06-03,West,Ahmedabad,Electronics,Laptop Stand,Corporate,12,1746.00,0.05,1133.00,4.0
ORD-0116,2025-06-20,East,Bhubaneswar,Home Office,Monitor Arm,Retail,5,3200.00,0.00,1976.00,4.0
ORD-0117,2025-07-07,South,Bengaluru,Accessories,Webcam,Online,10,2884.00,0.05,1632.00,4.5
ORD-0118,2025-07-24,North,Chandigarh,Accessories,USB Hub,Corporate,3,1272.00,0.00,582.00,4.5
ORD-0119,2025-08-10,West,Ahmedabad,Furniture,Study Desk,Retail,8,7820.00,0.05,5782.00,5.0
ORD-0120,2025-08-27,East,Bhubaneswar,Office Supplies,Printer Paper,Online,1,522.50,0.00,297.00,3.5
ORD-0121,2025-09-13,South,Bengaluru,Office Supplies,Notebook Pack,Corporate,6,441.00,0.05,220.00,4.0
ORD-0122,2025-09-30,North,Chandigarh,Electronics,Wireless Mouse,Retail,11,909.00,0.00,484.80,4.0
ORD-0123,2025-10-17,West,Ahmedabad,Home Office,Foot Rest,Online,4,1456.00,0.05,714.00,4.5
ORD-0124,2025-11-03,East,Bhubaneswar,Home Office,Desk Lamp,Corporate,9,1712.00,0.00,927.00,4.5
ORD-0125,2025-11-20,South,Bengaluru,Accessories,Laptop Sleeve,Retail,2,930.00,0.05,540.80,5.0
ORD-0126,2025-12-07,North,Chandigarh,Furniture,Storage Cabinet,Online,7,10560.00,0.00,7296.00,3.5
ORD-0127,2025-12-24,West,Ahmedabad,Furniture,Office Chair,Corporate,12,6435.00,0.05,4171.00,4.0
ORD-0128,2025-01-10,East,Bhubaneswar,Office Supplies,Desk Organizer,Retail,5,714.00,0.00,343.00,4.0
ORD-0129,2025-01-27,South,Bengaluru,Electronics,Keyboard,Online,10,1575.00,0.05,841.50,4.5
ORD-0130,2025-02-13,North,Chandigarh,Electronics,Laptop Stand,Corporate,3,1944.00,0.00,1100.00,4.5
ORD-0131,2025-03-02,West,Ahmedabad,Home Office,Monitor Arm,Retail,8,3008.00,0.05,1919.00,5.0
ORD-0132,2025-03-19,East,Bhubaneswar,Accessories,Webcam,Online,1,2716.00,0.00,1734.00,3.5
ORD-0133,2025-04-05,South,Bengaluru,Accessories,USB Hub,Corporate,6,1200.00,0.05,618.00,4.0
ORD-0134,2025-04-22,North,Chandigarh,Furniture,Study Desk,Retail,11,8755.00,0.00,6136.00,4.0
ORD-0135,2025-05-09,West,Ahmedabad,Office Supplies,Printer Paper,Online,4,583.00,0.05,288.00,4.5
ORD-0136,2025-05-26,East,Bhubaneswar,Office Supplies,Notebook Pack,Corporate,9,414.00,0.00,213.40,4.5
ORD-0137,2025-06-12,South,Bengaluru,Electronics,Wireless Mouse,Retail,2,855.00,0.05,470.40,5.0
ORD-0138,2025-06-29,North,Chandigarh,Home Office,Foot Rest,Online,7,1372.00,0.00,693.00,3.5
ORD-0139,2025-07-16,West,Ahmedabad,Home Office,Desk Lamp,Corporate,12,1616.00,0.05,900.00,4.0
ORD-0140,2025-08-02,East,Bhubaneswar,Accessories,Laptop Sleeve,Retail,5,1040.00,0.00,525.20,4.0
ORD-0141,2025-08-19,South,Bengaluru,Furniture,Storage Cabinet,Online,10,11770.00,0.05,7752.00,4.5
ORD-0142,2025-09-05,North,Chandigarh,Furniture,Office Chair,Corporate,3,6045.00,0.00,4429.00,4.5
ORD-0143,2025-09-22,West,Ahmedabad,Office Supplies,Desk Organizer,Retail,8,672.00,0.05,364.00,5.0
ORD-0144,2025-10-09,East,Bhubaneswar,Electronics,Keyboard,Online,1,1485.00,0.00,816.00,3.5
ORD-0145,2025-10-26,South,Bengaluru,Electronics,Laptop Stand,Corporate,6,1836.00,0.05,1067.00,4.0
ORD-0146,2025-11-12,North,Chandigarh,Home Office,Monitor Arm,Retail,11,3360.00,0.00,1862.00,4.0
ORD-0147,2025-11-29,West,Ahmedabad,Accessories,Webcam,Online,4,3024.00,0.05,1683.00,4.5
ORD-0148,2025-12-16,East,Bhubaneswar,Accessories,USB Hub,Corporate,9,1128.00,0.00,600.00,4.5
ORD-0149,2025-01-02,South,Bengaluru,Furniture,Study Desk,Retail,2,8245.00,0.05,5959.00,5.0
ORD-0150,2025-01-19,North,Chandigarh,Office Supplies,Printer Paper,Online,7,550.00,0.00,306.00,3.5
ORD-0151,2025-02-05,West,Ahmedabad,Office Supplies,Notebook Pack,Corporate,12,463.50,0.05,226.60,4.0
ORD-0152,2025-02-22,East,Bhubaneswar,Electronics,Wireless Mouse,Retail,5,954.00,0.00,499.20,4.0
ORD-0153,2025-03-11,South,Bengaluru,Home Office,Foot Rest,Online,10,1288.00,0.05,672.00,4.5
ORD-0154,2025-03-28,North,Chandigarh,Home Office,Desk Lamp,Corporate,3,1520.00,0.00,873.00,4.5
ORD-0155,2025-04-14,West,Ahmedabad,Accessories,Laptop Sleeve,Retail,8,980.00,0.05,509.60,5.0
ORD-0156,2025-05-01,East,Bhubaneswar,Furniture,Storage Cabinet,Online,1,11110.00,0.00,7524.00,3.5
ORD-0157,2025-05-18,South,Bengaluru,Furniture,Office Chair,Corporate,6,6760.00,0.05,4300.00,4.0
ORD-0158,2025-06-04,North,Chandigarh,Office Supplies,Desk Organizer,Retail,11,749.00,0.00,353.50,4.0
ORD-0159,2025-06-21,West,Ahmedabad,Electronics,Keyboard,Online,4,1395.00,0.05,867.00,4.5
ORD-0160,2025-07-08,East,Bhubaneswar,Electronics,Laptop Stand,Corporate,9,1728.00,0.00,1133.00,4.5
ORD-0161,2025-07-25,South,Bengaluru,Home Office,Monitor Arm,Retail,2,3168.00,0.05,1976.00,5.0
ORD-0162,2025-08-11,North,Chandigarh,Accessories,Webcam,Online,7,2856.00,0.00,1632.00,3.5
ORD-0163,2025-08-28,West,Ahmedabad,Accessories,USB Hub,Corporate,12,1260.00,0.05,582.00,4.0
ORD-0164,2025-09-14,East,Bhubaneswar,Furniture,Study Desk,Retail,5,9180.00,0.00,5782.00,4.0
ORD-0165,2025-10-01,South,Bengaluru,Office Supplies,Printer Paper,Online,10,517.00,0.05,297.00,4.5
ORD-0166,2025-10-18,North,Chandigarh,Office Supplies,Notebook Pack,Corporate,3,436.50,0.00,220.00,4.5
ORD-0167,2025-11-04,West,Ahmedabad,Electronics,Wireless Mouse,Retail,8,900.00,0.05,484.80,5.0
ORD-0168,2025-11-21,East,Bhubaneswar,Home Office,Foot Rest,Online,1,1442.00,0.00,714.00,3.5
ORD-0169,2025-12-08,South,Bengaluru,Home Office,Desk Lamp,Corporate,6,1696.00,0.05,927.00,4.0
ORD-0170,2025-12-25,North,Chandigarh,Accessories,Laptop Sleeve,Retail,11,920.00,0.00,540.80,4.0
ORD-0171,2025-01-11,West,Ahmedabad,Furniture,Storage Cabinet,Online,4,10450.00,0.05,7296.00,4.5
ORD-0172,2025-01-28,East,Bhubaneswar,Furniture,Office Chair,Corporate,9,6370.00,0.00,4171.00,4.5
ORD-0173,2025-02-14,South,Bengaluru,Office Supplies,Desk Organizer,Retail,2,707.00,0.05,343.00,5.0
ORD-0174,2025-03-03,North,Chandigarh,Electronics,Keyboard,Online,7,1560.00,0.00,841.50,3.5
ORD-0175,2025-03-20,West,Ahmedabad,Electronics,Laptop Stand,Corporate,12,1926.00,0.05,1100.00,4.0
ORD-0176,2025-04-06,East,Bhubaneswar,Home Office,Monitor Arm,Retail,5,2976.00,0.00,1919.00,4.0
ORD-0177,2025-04-23,South,Bengaluru,Accessories,Webcam,Online,10,2688.00,0.05,1734.00,4.5
ORD-0178,2025-05-10,North,Chandigarh,Accessories,USB Hub,Corporate,3,1188.00,0.00,618.00,4.5
ORD-0179,2025-05-27,West,Ahmedabad,Furniture,Study Desk,Retail,8,8670.00,0.05,6136.00,5.0
ORD-0180,2025-06-13,East,Bhubaneswar,Office Supplies,Printer Paper,Online,1,577.50,0.00,288.00,3.5
ORD-0181,2025-06-30,South,Bengaluru,Office Supplies,Notebook Pack,Corporate,6,486.00,0.05,213.40,4.0
ORD-0182,2025-07-17,North,Chandigarh,Electronics,Wireless Mouse,Retail,11,846.00,0.00,470.40,4.0
ORD-0183,2025-08-03,West,Ahmedabad,Home Office,Foot Rest,Online,4,1358.00,0.05,693.00,4.5
ORD-0184,2025-08-20,East,Bhubaneswar,Home Office,Desk Lamp,Corporate,9,1600.00,0.00,900.00,4.5
ORD-0185,2025-09-06,South,Bengaluru,Accessories,Laptop Sleeve,Retail,2,1030.00,0.05,525.20,5.0
ORD-0186,2025-09-23,North,Chandigarh,Furniture,Storage Cabinet,Online,7,11660.00,0.00,7752.00,3.5
ORD-0187,2025-10-10,West,Ahmedabad,Furniture,Office Chair,Corporate,12,5980.00,0.05,4429.00,4.0
ORD-0188,2025-10-27,East,Bhubaneswar,Office Supplies,Desk Organizer,Retail,5,665.00,0.00,364.00,4.0
ORD-0189,2025-11-13,South,Bengaluru,Electronics,Keyboard,Online,10,1470.00,0.05,816.00,4.5
ORD-0190,2025-11-30,North,Chandigarh,Electronics,Laptop Stand,Corporate,3,1818.00,0.00,1067.00,4.5
ORD-0191,2025-12-17,West,Ahmedabad,Home Office,Monitor Arm,Retail,8,3328.00,0.05,1862.00,5.0
ORD-0192,2025-01-03,East,Bhubaneswar,Accessories,Webcam,Online,1,2996.00,0.00,1683.00,3.5
ORD-0193,2025-01-20,South,Bengaluru,Accessories,USB Hub,Corporate,6,1116.00,0.05,600.00,4.0
ORD-0194,2025-02-06,North,Chandigarh,Furniture,Study Desk,Retail,11,8160.00,0.00,5959.00,4.0
ORD-0195,2025-02-23,West,Ahmedabad,Office Supplies,Printer Paper,Online,4,544.50,0.05,306.00,4.5
ORD-0196,2025-03-12,East,Bhubaneswar,Office Supplies,Notebook Pack,Corporate,9,459.00,0.00,226.60,4.5
ORD-0197,2025-03-29,South,Bengaluru,Electronics,Wireless Mouse,Retail,2,945.00,0.05,499.20,5.0
ORD-0198,2025-04-15,North,Chandigarh,Home Office,Foot Rest,Online,7,1512.00,0.00,672.00,3.5
ORD-0199,2025-05-02,West,Ahmedabad,Home Office,Desk Lamp,Corporate,12,1504.00,0.05,873.00,4.0
ORD-0200,2025-05-19,East,Bhubaneswar,Accessories,Laptop Sleeve,Retail,5,970.00,0.00,509.60,4.0
ORD-0201,2025-06-05,South,Bengaluru,Furniture,Storage Cabinet,Online,10,11000.00,0.05,7524.00,4.5
ORD-0202,2025-06-22,North,Chandigarh,Furniture,Office Chair,Corporate,3,6695.00,0.00,4300.00,4.5
ORD-0203,2025-07-09,West,Ahmedabad,Office Supplies,Desk Organizer,Retail,8,742.00,0.05,353.50,5.0
ORD-0204,2025-07-26,East,Bhubaneswar,Electronics,Keyboard,Online,1,1380.00,0.00,867.00,3.5
ORD-0205,2025-08-12,South,Bengaluru,Electronics,Laptop Stand,Corporate,6,1710.00,0.05,1133.00,4.0
ORD-0206,2025-08-29,North,Chandigarh,Home Office,Monitor Arm,Retail,11,3136.00,0.00,1976.00,4.0
ORD-0207,2025-09-15,West,Ahmedabad,Accessories,Webcam,Online,4,2828.00,0.05,1632.00,4.5
ORD-0208,2025-10-02,East,Bhubaneswar,Accessories,USB Hub,Corporate,9,1248.00,0.00,582.00,4.5
ORD-0209,2025-10-19,South,Bengaluru,Furniture,Study Desk,Retail,2,9095.00,0.05,5782.00,5.0
ORD-0210,2025-11-05,North,Chandigarh,Office Supplies,Printer Paper,Online,7,511.50,0.00,297.00,3.5
ORD-0211,2025-11-22,West,Ahmedabad,Office Supplies,Notebook Pack,Corporate,12,432.00,0.05,220.00,4.0
ORD-0212,2025-12-09,East,Bhubaneswar,Electronics,Wireless Mouse,Retail,5,891.00,0.00,484.80,4.0
ORD-0213,2025-12-26,South,Bengaluru,Home Office,Foot Rest,Online,10,1428.00,0.05,714.00,4.5
ORD-0214,2025-01-12,North,Chandigarh,Home Office,Desk Lamp,Corporate,3,1680.00,0.00,927.00,4.5
ORD-0215,2025-01-29,West,Ahmedabad,Accessories,Laptop Sleeve,Retail,8,1080.00,0.05,540.80,5.0
ORD-0216,2025-02-15,East,Bhubaneswar,Furniture,Storage Cabinet,Online,1,10340.00,0.00,7296.00,3.5
ORD-0217,2025-03-04,South,Bengaluru,Furniture,Office Chair,Corporate,6,6305.00,0.05,4171.00,4.0
ORD-0218,2025-03-21,North,Chandigarh,Office Supplies,Desk Organizer,Retail,11,700.00,0.00,343.00,4.0
ORD-0219,2025-04-07,West,Ahmedabad,Electronics,Keyboard,Online,4,1545.00,0.05,841.50,4.5
ORD-0220,2025-04-24,East,Bhubaneswar,Electronics,Laptop Stand,Corporate,9,1908.00,0.00,1100.00,4.5
ORD-0221,2025-05-11,South,Bengaluru,Home Office,Monitor Arm,Retail,2,2944.00,0.05,1919.00,5.0
ORD-0222,2025-05-28,North,Chandigarh,Accessories,Webcam,Online,7,2660.00,0.00,1734.00,3.5
ORD-0223,2025-06-14,West,Ahmedabad,Accessories,USB Hub,Corporate,12,1176.00,0.05,618.00,4.0
ORD-0224,2025-07-01,East,Bhubaneswar,Furniture,Study Desk,Retail,5,8585.00,0.00,6136.00,4.0
ORD-0225,2025-07-18,South,Bengaluru,Office Supplies,Printer Paper,Online,10,572.00,0.05,288.00,4.5
ORD-0226,2025-08-04,North,Chandigarh,Office Supplies,Notebook Pack,Corporate,3,481.50,0.00,213.40,4.5
ORD-0227,2025-08-21,West,Ahmedabad,Electronics,Wireless Mouse,Retail,8,837.00,0.05,470.40,5.0
ORD-0228,2025-09-07,East,Bhubaneswar,Home Office,Foot Rest,Online,1,1344.00,0.00,693.00,3.5
ORD-0229,2025-09-24,South,Bengaluru,Home Office,Desk Lamp,Corporate,6,1584.00,0.05,900.00,4.0
ORD-0230,2025-10-11,North,Chandigarh,Accessories,Laptop Sleeve,Retail,11,1020.00,0.00,525.20,4.0
ORD-0231,2025-10-28,West,Ahmedabad,Furniture,Storage Cabinet,Online,4,11550.00,0.05,7752.00,4.5
ORD-0232,2025-11-14,East,Bhubaneswar,Furniture,Office Chair,Corporate,9,7020.00,0.00,4429.00,4.5
